label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,51,65,573.34,79.01
B,1,66,67,541.28,80.18
B,2,67,68,535.82,79.79
A,2,68,68,535.39,78.45
A,3,68,68,548.94,78.23
B,3,67,69,544.20,79.80
B,4,69,69,535.09,79.88
A,4,68,69,550.48,78.12
A,5,69,69,566.51,78.15
B,5,69,69,539.96,79.44
B,6,68,68,497.30,79.59
A,6,69,69,566.97,78.04
A,7,70,70,519.84,78.34
B,7,69,70,558.23,79.30
B,8,70,69,556.55,79.40
A,8,67,68,555.89,78.17
A,9,68,69,552.76,78.30
B,9,69,69,561.59,79.32
B,10,69,69,562.68,79.26
A,10,69,70,558.03,78.36
A,11,69,69,521.47,78.33
B,11,70,69,531.63,78.62
B,12,69,70,537.70,79.08
A,12,70,68,572.80,77.75
A,13,69,69,556.85,78.32
B,13,69,69,523.52,78.99
B,14,70,70,557.99,78.81
A,14,69,70,573.12,77.78
A,15,69,69,525.10,77.94
B,15,69,70,550.64,79.42
B,16,70,70,544.44,78.90
A,16,69,68,587.30,77.95
A,17,69,70,536.20,77.94
B,17,69,70,546.13,78.71
B,18,69,69,560.58,79.20
A,18,68,69,552.99,77.95
A,19,69,69,555.39,78.06
B,19,69,70,580.98,79.14
B,20,69,70,500.69,78.87
A,20,70,70,571.13,77.75
A,21,70,71,527.39,78.22
B,21,70,70,541.05,79.11
