label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,51,66,582.94,79.67
B,1,65,68,579.77,80.17
B,2,67,68,573.12,80.16
A,2,67,68,574.96,79.58
A,3,67,69,580.79,79.15
B,3,69,70,515.41,79.45
B,4,68,71,555.53,79.84
A,4,70,71,554.26,79.18
A,5,70,70,552.91,79.21
B,5,70,70,546.78,79.81
B,6,70,70,538.74,79.63
A,6,70,70,583.59,78.88
A,7,70,71,568.99,79.05
B,7,70,70,529.17,79.15
B,8,70,70,543.21,79.18
A,8,71,70,533.58,78.04
A,9,69,70,590.78,78.75
B,9,70,71,534.24,79.16
B,10,71,70,567.80,78.99
A,10,70,70,560.09,78.91
A,11,69,72,552.64,79.23
B,11,71,70,546.75,79.12
B,12,70,70,527.08,79.14
A,12,70,71,547.06,78.26
A,13,70,70,561.94,78.68
B,13,70,71,571.05,79.21
B,14,70,69,579.70,79.35
A,14,68,67,543.22,78.47
A,15,67,71,535.47,78.59
B,15,70,70,509.37,79.22
B,16,70,71,559.94,78.85
A,16,70,71,547.39,78.34
A,17,70,71,540.65,78.71
B,17,71,70,505.13,78.96
B,18,70,69,545.53,79.08
A,18,70,71,561.63,78.53
A,19,71,72,577.19,78.91
B,19,71,71,533.12,79.07
B,20,70,70,534.36,78.82
A,20,70,71,553.79,78.52
A,21,69,71,556.77,78.74
B,21,70,70,572.50,78.99
