label,rep,start_temp_c,end_temp_c,prefill_tps,decode_tps
A,1,44,61,737.83,89.17
B,1,60,61,724.42,89.13
B,2,59,63,713.85,89.20
A,2,62,62,732.32,88.87
A,3,62,62,718.92,89.07
B,3,62,61,701.84,89.31
B,4,63,64,733.12,89.12
A,4,62,64,704.62,88.98
A,5,63,64,712.81,88.99
B,5,62,64,712.19,89.12
B,6,63,64,707.55,88.69
A,6,64,62,713.80,88.45
A,7,63,62,707.62,88.32
B,7,64,64,734.02,88.18

bin  n     prefill_med    mad       decode_med     mad       source
A    7     713.80         6.180     88.98          0.110     /home/server/q36-opt-27b/q36-bench
B    7     713.85         10.570    89.12          0.080     /home/server/q36-wt/w7-nextn/q36-bench

B vs A prefill: +0.01%   decode: +0.16%   (gate: +1.50%)
verdict: FAIL (prefill)
