pair,arm,order,entry_temp_c,exit_temp_c,sclk_mhz,power_w,pp_tps,decode_tps
1,ref,1,52,66,500,32,112.00,32.48
1,new,2,55,67,500,32,245.08,34.90
2,new,1,55,69,500,32,244.85,34.88
2,ref,2,55,68,500,32,109.96,29.52
3,ref,1,56,69,500,33,107.61,28.97
3,new,2,55,68,500,33,242.60,34.80
4,new,1,55,69,500,36,240.04,34.66
4,ref,2,55,68,500,38,108.70,30.39
5,ref,1,55,69,500,32,108.12,28.61
5,new,2,55,68,500,33,239.97,34.81
6,new,1,55,69,500,34,238.76,34.81
6,ref,2,55,69,500,31,108.21,31.05
7,ref,1,55,69,500,34,107.95,29.39
7,new,2,55,69,500,32,241.20,34.74
