model,arm,rep,prefill_tps,gen_tps
swift,off,1,52.51,23.40
swift,off,2,55.64,23.12
swift,off,3,51.58,23.15
swift,off,4,51.41,23.00
swift,off,5,53.46,23.06
swift,off,6,51.37,23.07
swift,off,7,55.84,23.00
swift,on,1,51.12,23.72
swift,on,2,50.95,23.67
swift,on,3,53.08,23.60
swift,on,4,51.30,23.54
swift,on,5,51.71,23.46
swift,on,6,55.80,23.44
swift,on,7,55.42,23.42
moe,off,1,125.82,78.72
moe,off,2,143.83,79.30
moe,off,3,120.17,79.55
moe,off,4,132.69,79.17
moe,off,5,147.82,79.61
moe,off,6,117.52,79.53
moe,off,7,121.60,79.34
moe,on,1,116.51,85.58
moe,on,2,150.01,85.69
moe,on,3,116.80,85.48
moe,on,4,138.14,85.90
moe,on,5,122.74,86.12
moe,on,6,128.86,85.99
moe,on,7,140.69,85.85
