=== loop-old.txt
     85 v_add_nc_u32_e32
     72 v_bfe_u32
     72 v_and_b32_e32
     64 v_lshlrev_b32_e32
     33 buffer_load_ushort
     32 s_waitcnt
     25 v_lshl_add_u32
     24 v_cvt_f32_u32_e32
     21 v_lshrrev_b32_e32
     16 v_mul_f32_e32
     16 v_mac_f32_e32
     16 v_cndmask_b32_e64
     12 v_cmp_ne_i32_e64
      9 s_clause
      8 v_mad_i32_i24
      8 v_and_or_b32
      8 v_add_f32_e32
      8 buffer_load_dwordx2
      8 buffer_load_dword
      4 v_cmp_ne_i32_e32
      1 v_mul_lo_u32
      1 v_mov_b32_e32
      1 v_fma_mix_f32
      1 v_add_lshl_u32
      1 s_movk_i32
      1 s_mov_b32
      1 s_load_dwordx8
      1 s_load_dwordx4
=== loop-new.txt
     72 v_bfe_u32
     64 v_lshlrev_b32_e32
     53 v_lshrrev_b32_e32
     48 v_and_b32_e32
     41 v_lshl_add_u32
     33 ds_read_b32
     31 v_add_nc_u32_e32
     31 s_waitcnt
     24 v_cvt_f32_u32_e32
     16 v_mul_f32_e32
     16 v_cndmask_b32_e64
     16 v_add3_u32
     15 v_mac_f32_e32
     10 v_cmp_ne_i32_e32
      8 v_mad_i32_i24
      8 v_and_or_b32
      8 v_add_f32_e32
      8 buffer_load_dwordx2
      8 buffer_load_dword
      6 v_cmp_ne_i32_e64
      5 s_clause
      3 s_movk_i32
      2 s_load_dwordx4
      1 v_fma_mix_f32
      1 v_add_lshl_u32
