arm                 span   ctx    t/s  ms/call    wg  us/wg  ns/wgkey  ns/keyhead
---------------------------------------------------------------------------------
guard-16384-r1         512 16384  64.09   0.3588   528   27.2    1.3271     21.8543
guard-16384-r2         512 16384  64.57   0.3592   528   27.2    1.3288     21.8821
guard-32768-r1         512 32768  52.26   0.6592  1040   25.4    1.2380     20.0977
guard-32768-r2         512 32768  52.58   0.6502  1040   25.0    1.2211     19.8231
guard-8192-r1          512  8192  72.39   0.2028   272   29.8    1.4562     24.6584
guard-8192-r2          512  8192  73.94   0.1984   272   29.2    1.4243     24.1186
swift-16384-r1         512 16384  18.48   0.5334   792   26.9    1.3153     32.4900
swift-16384-r2         512 16384  18.41   0.5365   792   27.1    1.3230     32.6799
swift-32768-r1         512 32768  15.40   1.0221  1560   26.2    1.2797     31.1613
swift-32768-r2         512 32768  14.63   1.0943  1560   28.1    1.3701     33.3633
swift-8192-r1          512  8192  20.15   0.2847   408   27.9    1.3630     34.6220
swift-8192-r2          512  8192  19.97   0.2870   408   28.1    1.3738     34.8948
