tree,model,rep,ctx,prefill_tps,decode_tps
da03b05,ravenx-35B-Q36-IQ2XXS,1,1024,917.40,87.73
f1e3dc4,ravenx-35B-Q36-IQ2XXS,1,1024,920.46,87.05
da03b05,ravenx-35B-Q36-IQ2XXS,2,1024,914.59,88.60
f1e3dc4,ravenx-35B-Q36-IQ2XXS,2,1024,920.25,87.73
da03b05,ravenx-35B-Q36-IQ2XXS,3,1024,929.36,87.14
f1e3dc4,ravenx-35B-Q36-IQ2XXS,3,1024,942.21,87.44
da03b05,swift-IQ3_XXS,1,1024,170.14,20.89
f1e3dc4,swift-IQ3_XXS,1,1024,172.03,18.77
da03b05,swift-IQ3_XXS,2,1024,169.55,18.53
f1e3dc4,swift-IQ3_XXS,2,1024,170.00,18.55
da03b05,swift-IQ3_XXS,3,1024,170.62,18.27
f1e3dc4,swift-IQ3_XXS,3,1024,170.06,18.55
da03b05,swift-IQ3_XXS,4,1024,170.58,18.44
f1e3dc4,swift-IQ3_XXS,4,1024,169.61,18.43
