pair,arm,entry_temp_c,exit_temp_c,sclk_mhz,mclk_mhz,power_w,pp512_tps,decode_tps,decode_ms_per_tok
1,A,55,67,1470,450,108,204.73,33.11,30.2024
1,B,55,65,1450,450,116,202.28,32.71,30.5717
2,A,56,66,1520,450,123,206.46,32.86,30.4321
2,B,55,66,1500,450,124,203.83,32.85,30.4414
3,A,55,66,1290,450,104,203.11,32.77,30.5157
3,B,55,67,1690,450,109,203.66,32.93,30.3674
4,A,55,66,1490,450,109,209.71,32.68,30.5998
4,B,55,66,1380,450,96,200.48,32.61,30.6654
5,A,56,66,1320,450,106,206.78,32.34,30.9215
5,B,56,66,1340,450,84,206.60,32.71,30.5717
6,A,55,66,1260,450,51,208.19,32.63,30.6466
6,B,55,67,1350,450,109,203.97,32.74,30.5437
7,A,55,66,1220,450,98,205.74,32.38,30.8833
7,B,55,66,1300,450,50,207.97,32.67,30.6091
8,A,56,66,1260,450,103,203.64,32.59,30.6843
8,B,55,67,1300,450,52,202.42,32.70,30.5810
9,A,55,66,1310,450,89,204.57,32.69,30.5904
9,B,56,66,1300,450,99,182.91,32.59,30.6843
10,A,56,66,1230,450,71,207.25,32.38,30.8833
10,B,55,66,1250,450,51,210.28,32.61,30.6654
