ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
1024,1024,193.70,32,33.56,4108
1152,128,150.98,32,33.68,4620
1280,128,142.51,32,32.84,5132
1408,128,134.58,32,33.09,5644
1536,128,128.95,32,28.43,6156
1664,128,123.77,32,29.07,6668
1792,128,117.38,32,29.44,7180
1920,128,110.71,32,25.12,7692
2048,128,109.29,32,29.68,8204
2176,128,105.69,32,29.45,8716
2304,128,102.20,32,27.96,9228
2432,128,98.81,32,26.10,9740
2560,128,95.43,32,25.31,10252
2688,128,94.66,32,22.23,10764
2816,128,94.06,32,31.96,11276
2944,128,92.46,32,26.91,11788
3072,128,91.01,32,21.54,12300
