pair,arm,order,entry_temp_c,exit_temp_c,sclk_mhz,power_w,pp_tps,decode_tps
1,ref,1,51,66,500,32,246.12,37.24
1,new,2,54,67,500,32,241.27,48.33
2,new,1,55,68,500,31,240.72,47.82
2,ref,2,55,67,500,32,240.91,37.00
3,ref,1,55,69,500,33,239.83,37.03
3,new,2,55,69,500,33,239.75,47.14
4,new,1,55,69,500,32,240.98,46.99
4,ref,2,55,68,500,32,239.60,34.69
5,ref,1,55,68,500,33,242.64,34.80
5,new,2,55,68,500,32,243.07,47.20
6,new,1,56,68,500,32,244.90,46.98
6,ref,2,55,68,500,33,244.36,34.81
7,ref,1,55,69,500,32,241.56,34.97
7,new,2,55,67,500,35,242.15,46.94
