timestamp,label,start_temp_c,end_temp_c,wall_s,result
2026-09-18T00:02:53-03:00,baseline-66ccb5e-r1,55,67,22,"512;512;178.65;128;23.86;2060"
2026-09-18T00:03:46-03:00,baseline-66ccb5e-r2,55,68,19,"512;512;179.72;128;24.16;2060"
2026-09-18T00:04:23-03:00,baseline-66ccb5e-r3,55,68,18,"512;512;180.17;128;24.05;2060"
2026-09-18T00:10:48-03:00,pwm255-66ccb5e-r1,55,66,28,"512;512;181.58;128;23.81;2060"
2026-09-18T00:12:05-03:00,pwm255-66ccb5e-r2,55,68,27,"512;512;183.32;128;23.20;2060"
2026-09-18T00:13:49-03:00,pwm255-66ccb5e-r3,55,67,21,"512;512;184.38;128;23.89;2060"
2026-09-18T00:39:49-03:00,mmq-q2_0-r1,51,65,15,"512;512;197.24;128;28.15;2060"
2026-09-18T00:40:13-03:00,mmq-q2_0-r2,55,63,21,"512;512;197.43;128;25.20;2060"
2026-09-18T00:40:38-03:00,mmq-q2_0-r3,55,65,21,"512;512;178.41;128;25.03;2060"
2026-09-18T00:41:02-03:00,AB-base-r1,55,66,16,"512;512;180.56;128;24.56;2060"
2026-09-18T00:41:27-03:00,AB-mmq-r1,55,67,20,"512;512;197.75;128;24.89;2060"
2026-09-18T00:41:58-03:00,AB-base-r2,55,66,18,"512;512;181.53;128;24.44;2060"
2026-09-18T00:42:30-03:00,AB-mmq-r2,55,66,19,"512;512;200.03;128;24.57;2060"
2026-09-18T00:43:03-03:00,AB-base-r3,55,66,17,"512;512;184.87;128;24.18;2060"
2026-09-18T00:43:41-03:00,AB-mmq-r3,55,67,17,"512;512;200.76;128;24.82;2060"
